data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-08-25 16:22:33.957432;27;São Paulo;Maurício Peçanha;Smartwatch QCY;Michelle Dewitt;feminino;cartão de crédito
2025-08-26 11:52:36.087270;28;Recife;Fernanda Costa;Smartphone Samsung Galaxy;Jennifer Tram;feminino;dinheiro
2025-08-26 12:26:32.457227;29;Natal;João Pedro;SmartTV OLED 4k TCL;Josephine Chavez;feminino;pix
2025-08-26 13:29:33.179662;30;Recife;Carlos Silva;SmartTV OLED 4k TCL;Jerry Florido;masculino;cartão de crédito
2025-08-26 14:04:36.441017;31;Fortaleza;Matheus Pereira;SmartTV OLED 4k TCL;Jennifer Davalos;feminino;cartão de crédito
2025-08-26 18:01:32.271947;32;Recife;Carlos Silva;SmartTV OLED 4k TCL;William Rodriguez;masculino;boleto
2025-08-26 19:50:35.717861;33;Fortaleza;Ana Oliveira;Smartwatch QCY;Mariano Yeager;masculino;pix
2025-08-26 20:32:34.532921;34;Natal;João Pedro;PlayStation 5;Logan Gonzalez;masculino;cartão de crédito
2025-08-26 20:35:33.253108;35;Recife;Carlos Silva;Geladeira Eletrolux;Clint Avila;masculino;cartão de crédito
2025-08-27 15:36:34.070676;36;Salvador;Francisco José;Geladeira Eletrolux;Tyrone Holmquist;masculino;cartão de crédito
2025-08-27 19:34:36.122777;37;São Paulo;Floriana Peixoto;Geladeira Eletrolux;Dana Rice;feminino;cartão de crédito
2025-08-28 12:48:33.825347;38;Salvador;Francisco José;Geladeira Eletrolux;Mary Reyes;feminino;pix
2025-08-28 15:10:36.302330;39;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Nancy Starks;feminino;boleto
2025-08-28 16:36:34.982822;40;São Paulo;Maurício Peçanha;Geladeira Eletrolux;Sheena Brown;feminino;cartão de crédito
2025-08-28 19:47:33.773307;41;Recife;Carlos Silva;SmartTV OLED 4k TCL;Julie Kulick;feminino;boleto
2025-08-28 19:55:33.033960;42;Recife;Carlos Silva;Smartphone Samsung Galaxy;Matthew Crespino;masculino;dinheiro
2025-08-29 10:11:35.943032;43;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Anna Horning;feminino;dinheiro
2025-08-29 11:35:33.128876;44;Fortaleza;Matheus Pereira;SmartTV OLED 4k TCL;Robert Sanchez;masculino;pix
2025-08-29 12:44:33.225379;45;Recife;Carlos Silva;SmartTV OLED 4k TCL;Stephen Rodriguez;masculino;cartão de crédito
2025-08-29 14:17:34.145796;46;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Vivian Garcia;feminino;dinheiro
2025-08-30 13:42:32.542103;47;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Ruth Dudley;feminino;cartão de crédito
2025-08-30 17:57:34.268346;48;Recife;Carlos Silva;Geladeira Eletrolux;Roxann Rex;feminino;cartão de crédito
2025-08-30 18:36:33.920540;49;Fortaleza;Matheus Pereira;Geladeira Eletrolux;Carl Hess;masculino;boleto
2025-08-31 11:06:32.312039;50;Fortaleza;Matheus Pereira;PlayStation 5;Matthew Steele;masculino;pix
2025-08-31 12:02:33.668888;51;Natal;Clara Neves;PlayStation 5;Sara Davis;feminino;cartão de crédito
2025-08-31 12:54:33.330023;52;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;Kenneth Shipp;masculino;cartão de crédito
2025-08-31 15:50:36.358008;53;Natal;João Pedro;PlayStation 5;Tara James;feminino;cartão de crédito
2025-08-31 17:48:35.842613;54;Natal;Clara Neves;SmartTV OLED 4k TCL;Marilyn Garcia;feminino;boleto
2025-09-01 12:57:32.528237;55;Salvador;Carla Montenegro;Geladeira Eletrolux;Carlos Cummings;masculino;pix
2025-09-01 13:55:33.294434;56;Salvador;Francisco José;PlayStation 5;Sabrina Lewis;feminino;pix
2025-09-01 14:14:33.443871;57;Recife;Fernanda Costa;Smartphone Samsung Galaxy;Cameron Averitte;masculino;dinheiro
2025-09-01 17:03:33.103876;58;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;April Nichols;feminino;boleto
2025-09-01 18:40:33.913714;59;Salvador;Carla Montenegro;Smartwatch QCY;Richard Edwards;masculino;dinheiro
2025-09-02 14:34:33.825035;60;Recife;Fernanda Costa;Smartwatch QCY;Kristopher Bishop;masculino;dinheiro
2025-09-02 14:41:34.693938;61;São Paulo;Maurício Peçanha;PlayStation 5;Gary Nelson;masculino;pix
2025-09-02 19:51:32.311899;62;Natal;Clara Neves;Smartwatch QCY;Janet Douglas;feminino;pix
2025-09-02 19:52:34.148745;63;São Paulo;Maurício Peçanha;Geladeira Eletrolux;Keith Barnes;masculino;cartão de crédito
2025-09-03 11:20:36.209183;64;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Shirley Marquez;feminino;cartão de crédito
2025-09-03 14:11:35.516491;65;Fortaleza;Ana Oliveira;PlayStation 5;Norman Shepard;masculino;pix
2025-09-03 14:36:35.370889;66;Recife;Carlos Silva;Smartphone Samsung Galaxy;Brent Little;masculino;boleto
2025-09-03 18:36:36.159156;67;Natal;Clara Neves;Smartwatch QCY;Earl Welch;masculino;pix
2025-09-03 19:43:36.524039;68;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Thomas Smith;masculino;cartão de crédito
2025-09-03 20:43:33.962984;69;Natal;João Pedro;Geladeira Eletrolux;John Jernigan;masculino;boleto
2025-09-04 14:45:34.429047;70;Recife;Carlos Silva;SmartTV OLED 4k TCL;Dustin Gonzalez;masculino;cartão de crédito
2025-09-04 17:42:35.282139;71;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Ida Hanley;feminino;cartão de crédito
2025-09-04 18:36:33.894296;72;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Lloyd Dickie;masculino;cartão de crédito
2025-09-05 09:43:34.671154;73;Fortaleza;Matheus Pereira;Smartwatch QCY;Thomasina Shinn;feminino;dinheiro
2025-09-05 13:30:33.864274;74;Natal;João Pedro;Smartwatch QCY;Joe Perez;masculino;cartão de crédito
2025-09-05 14:12:36.209558;75;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Bridget Herr;feminino;dinheiro
2025-09-05 14:51:34.099079;76;Recife;Fernanda Costa;Smartwatch QCY;John Troendle;masculino;pix
2025-09-05 15:49:35.065429;77;Salvador;Francisco José;Smartwatch QCY;Lynette Matthews;feminino;boleto
2025-09-05 16:39:35.166236;78;Fortaleza;Ana Oliveira;Smartwatch QCY;Regina Thornbury;feminino;pix
2025-09-06 10:37:34.192807;79;São Paulo;Maurício Peçanha;Geladeira Eletrolux;Van Grundhoefer;masculino;cartão de crédito
2025-09-06 14:43:35.905624;80;Recife;Carlos Silva;Smartphone Samsung Galaxy;Christopher Rodriguez;masculino;dinheiro
2025-09-06 15:42:33.936505;81;Salvador;Carla Montenegro;SmartTV OLED 4k TCL;Mary Clark;feminino;dinheiro
2025-09-06 19:34:36.512219;82;São Paulo;Floriana Peixoto;PlayStation 5;Richard Antrikin;masculino;dinheiro
2025-09-07 11:07:36.288685;83;Recife;Fernanda Costa;Smartwatch QCY;Lena Hisaw;feminino;cartão de crédito
2025-09-07 11:51:35.568935;84;São Paulo;Maurício Peçanha;Smartwatch QCY;William Ewell;masculino;boleto
2025-09-07 15:43:36.496122;85;São Paulo;Floriana Peixoto;PlayStation 5;Veronica Vandam;feminino;dinheiro
2025-09-07 17:36:34.694392;86;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Aisha Dabney;feminino;boleto
2025-09-07 19:53:35.313404;87;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Kathy Doughty;feminino;dinheiro
2025-09-08 09:59:35.583645;88;Natal;João Pedro;PlayStation 5;Beverly Redden;feminino;pix
2025-09-08 13:13:34.746581;89;Salvador;Francisco José;SmartTV OLED 4k TCL;Deborah Farmer;feminino;boleto
2025-09-08 15:17:36.022383;90;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Walter Light;masculino;pix
2025-09-08 15:41:34.563590;91;Recife;Carlos Silva;Geladeira Eletrolux;Lara Morber;feminino;pix
2025-09-08 18:04:32.927621;92;Salvador;Francisco José;PlayStation 5;Jennifer Hay;feminino;cartão de crédito
2025-09-08 19:29:36.494674;93;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Trina Bevins;feminino;boleto
2025-09-09 11:41:34.690123;94;Recife;Fernanda Costa;Smartphone Samsung Galaxy;George Andrews;masculino;boleto
2025-09-09 12:28:35.839150;95;Fortaleza;Ana Oliveira;PlayStation 5;Betty Anderson;feminino;cartão de crédito
2025-09-09 13:33:36.305705;96;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Frank Ensing;masculino;cartão de crédito
2025-09-09 13:55:35.516794;97;Salvador;Carla Montenegro;Smartphone Samsung Galaxy;Janie Edwards;feminino;cartão de crédito
2025-09-09 16:02:35.247189;98;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Sharon Glaze;feminino;dinheiro
2025-09-09 17:18:36.317973;99;Salvador;Francisco José;SmartTV OLED 4k TCL;Alonzo Robison;masculino;boleto
2025-09-09 17:32:32.918051;100;Recife;Carlos Silva;Geladeira Eletrolux;James Sanders;masculino;cartão de crédito
2025-09-09 18:03:34.470355;101;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;Thomas Riera;masculino;pix
2025-09-09 18:05:36.511016;102;Salvador;Carla Montenegro;Geladeira Eletrolux;James Silva;masculino;cartão de crédito
2025-09-09 18:23:33.677159;103;Natal;João Pedro;Smartphone Samsung Galaxy;Jesse Shroyer;masculino;dinheiro
2025-09-10 10:35:34.357062;104;Salvador;Francisco José;SmartTV OLED 4k TCL;Benjamin Mills;masculino;boleto
2025-09-10 14:36:34.825408;105;Salvador;Carla Montenegro;SmartTV OLED 4k TCL;Carolyn Fitzgerald;feminino;dinheiro
2025-09-10 18:50:33.440154;106;Fortaleza;Matheus Pereira;Smartwatch QCY;Ginny Getchell;feminino;cartão de crédito
2025-09-11 11:34:32.289669;107;São Paulo;Floriana Peixoto;Geladeira Eletrolux;Scott Kirn;masculino;boleto
2025-09-11 14:50:33.915059;108;Natal;Clara Neves;PlayStation 5;Helen Kennedy;feminino;pix
2025-09-11 17:22:35.718882;109;Natal;Clara Neves;Geladeira Eletrolux;Sam Wood;masculino;pix
2025-09-11 19:53:32.658369;110;Natal;Clara Neves;Geladeira Eletrolux;Gladys Mcgroarty;feminino;pix
2025-09-12 11:53:32.205693;111;Fortaleza;Matheus Pereira;Smartwatch QCY;Valerie Demott;feminino;boleto
2025-09-12 11:56:32.543660;112;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Kathleen Garza;feminino;dinheiro
2025-09-12 13:08:34.340357;113;Natal;João Pedro;Smartwatch QCY;Dorothea Bergmark;feminino;cartão de crédito
2025-09-12 16:46:35.675619;114;São Paulo;Floriana Peixoto;Geladeira Eletrolux;Iva Pollock;feminino;cartão de crédito
2025-09-12 17:00:34.174721;115;São Paulo;Floriana Peixoto;Geladeira Eletrolux;Charles Vollmer;masculino;dinheiro
2025-09-13 10:03:35.805713;116;Natal;João Pedro;PlayStation 5;Marjorie Adams;feminino;dinheiro
2025-09-13 10:06:35.015386;117;Fortaleza;Matheus Pereira;Smartwatch QCY;Helen Pettaway;feminino;cartão de crédito
2025-09-13 14:37:32.673423;118;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Sharon Mccatty;feminino;boleto
2025-09-13 14:37:33.427402;119;Salvador;Carla Montenegro;Geladeira Eletrolux;Derek Roberts;masculino;pix
2025-09-13 18:26:35.608384;120;São Paulo;Floriana Peixoto;SmartTV OLED 4k TCL;Sherry Lutwin;feminino;boleto
2025-09-13 19:17:32.657713;121;São Paulo;Floriana Peixoto;Smartwatch QCY;Logan Carlson;masculino;pix
2025-09-13 19:54:36.524761;122;Salvador;Carla Montenegro;Smartwatch QCY;Billy Marsalis;masculino;pix
2025-09-13 20:05:32.298394;123;Natal;João Pedro;Smartphone Samsung Galaxy;Antonio Hart;masculino;cartão de crédito
2025-09-13 20:14:36.420687;124;Natal;Clara Neves;Smartwatch QCY;Jesus Fontanella;masculino;boleto
2025-09-14 10:43:34.303434;125;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Christina Solomon;feminino;dinheiro
2025-09-14 14:08:33.349458;126;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Robert Matthews;masculino;cartão de crédito
2025-09-14 15:32:33.221610;127;São Paulo;Floriana Peixoto;Geladeira Eletrolux;Gayle Hiatt;masculino;dinheiro
2025-09-14 17:03:35.641759;128;Natal;Clara Neves;PlayStation 5;Pamela Marquez;feminino;pix
2025-09-14 17:34:36.225042;129;São Paulo;Maurício Peçanha;Smartphone Samsung Galaxy;Richard Nelson;masculino;dinheiro
2025-09-14 18:18:33.321512;130;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;John Squires;masculino;cartão de crédito
2025-09-15 11:23:36.505069;131;Recife;Carlos Silva;SmartTV OLED 4k TCL;Kasey Days;feminino;boleto
2025-09-15 16:09:32.458862;132;São Paulo;Maurício Peçanha;Smartphone Samsung Galaxy;Larry Zeitler;masculino;cartão de crédito
2025-09-15 19:15:33.103141;133;São Paulo;Maurício Peçanha;Smartwatch QCY;Alexis Pratt;masculino;boleto
2025-09-15 20:26:34.357254;134;Natal;João Pedro;Smartwatch QCY;Marvin Lewis;masculino;boleto
2025-09-16 16:36:35.945753;135;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;Felix Wada;masculino;boleto
2025-09-16 17:09:35.551267;136;Natal;João Pedro;PlayStation 5;Emily Rainey;feminino;boleto
2025-09-17 12:11:32.526555;137;São Paulo;Maurício Peçanha;Smartphone Samsung Galaxy;Britt Estes;feminino;pix
2025-09-17 13:03:33.357999;138;Recife;Carlos Silva;PlayStation 5;Linda Clark;feminino;pix
2025-09-17 13:05:36.380303;139;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Kimberly Rosario;feminino;cartão de crédito
2025-09-17 13:29:32.623897;140;Fortaleza;Ana Oliveira;PlayStation 5;Larry Freeman;masculino;pix
2025-09-17 15:53:34.581154;141;Salvador;Carla Montenegro;PlayStation 5;Shawn Blum;masculino;cartão de crédito
2025-09-18 09:54:35.149804;142;Recife;Fernanda Costa;SmartTV OLED 4k TCL;Willard Knapp;masculino;pix
2025-09-18 10:44:32.985632;143;Fortaleza;Ana Oliveira;PlayStation 5;Gregory Mclean;masculino;pix
2025-09-18 11:29:33.296595;144;Natal;João Pedro;Smartphone Samsung Galaxy;Angeline Hester;feminino;boleto
2025-09-18 12:03:33.066052;145;Natal;Clara Neves;Smartphone Samsung Galaxy;Gary Winter;masculino;pix
2025-09-18 12:31:36.302779;146;Salvador;Carla Montenegro;PlayStation 5;Stephen Goin;masculino;boleto
2025-09-18 16:05:34.040975;147;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;William Boyer;masculino;dinheiro
2025-09-18 17:39:33.644422;148;São Paulo;Floriana Peixoto;PlayStation 5;Jeffrey Haynes;masculino;dinheiro
2025-09-18 17:47:34.097545;149;Recife;Carlos Silva;Smartphone Samsung Galaxy;Natalie Langham;feminino;cartão de crédito
2025-09-18 18:12:34.779567;150;Fortaleza;Ana Oliveira;PlayStation 5;Frederick Bolivar;masculino;cartão de crédito
2025-09-18 20:42:33.066419;151;Fortaleza;Matheus Pereira;PlayStation 5;Lindsay Jeans;feminino;dinheiro
2025-09-20 11:22:32.312186;152;Salvador;Francisco José;SmartTV OLED 4k TCL;Sherrie Densmore;feminino;pix
2025-09-20 15:25:36.189542;153;Salvador;Carla Montenegro;PlayStation 5;Jennifer Kirkpatrick;feminino;dinheiro
2025-09-20 15:52:33.569833;154;Recife;Fernanda Costa;Smartphone Samsung Galaxy;Irving Cox;masculino;cartão de crédito
2025-09-20 19:51:34.992590;155;Salvador;Carla Montenegro;Smartwatch QCY;James Estrada;masculino;dinheiro
2025-09-21 15:00:34.127809;156;Salvador;Francisco José;Smartphone Samsung Galaxy;Stephen Bowles;masculino;pix
2025-09-21 19:35:32.918161;157;Natal;João Pedro;Smartphone Samsung Galaxy;Jerome Hodge;masculino;pix
2025-09-22 10:06:35.352857;158;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Jimmy Albert;masculino;cartão de crédito
2025-09-22 10:33:33.652454;159;Natal;João Pedro;Smartwatch QCY;Nancy Archie;feminino;cartão de crédito
2025-09-22 10:59:33.350895;160;Salvador;Francisco José;SmartTV OLED 4k TCL;Jessica Richard;feminino;dinheiro
2025-09-22 12:05:36.414726;161;Salvador;Francisco José;SmartTV OLED 4k TCL;Zola Hurst;feminino;dinheiro
2025-09-22 14:51:33.104026;162;Salvador;Carla Montenegro;PlayStation 5;Mary Nine;feminino;cartão de crédito
2025-09-22 15:35:36.473850;163;Fortaleza;Ana Oliveira;Smartphone Samsung Galaxy;Gregory Hurd;masculino;dinheiro
2025-09-22 16:00:33.745721;164;São Paulo;Maurício Peçanha;Smartphone Samsung Galaxy;Chris Waligora;feminino;boleto
2025-09-22 16:43:32.335206;165;Salvador;Carla Montenegro;Geladeira Eletrolux;Susan Kerns;feminino;cartão de crédito
2025-09-22 16:46:35.857790;166;São Paulo;Maurício Peçanha;Smartwatch QCY;Jean Hale;feminino;cartão de crédito
2025-09-22 19:24:35.843282;167;Natal;João Pedro;PlayStation 5;Pasquale Jackson;masculino;cartão de crédito
2025-09-23 13:18:32.997445;168;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Crystal Vasquez;feminino;boleto
2025-09-23 14:21:33.284968;169;Salvador;Francisco José;Smartphone Samsung Galaxy;Josephine Allen;feminino;cartão de crédito
2025-09-23 14:31:32.457369;170;Fortaleza;Ana Oliveira;PlayStation 5;Tiffany Allen;feminino;boleto
2025-09-23 15:10:35.951390;171;Natal;João Pedro;PlayStation 5;Harris Baptiste;masculino;dinheiro
2025-09-23 17:20:35.832351;172;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;Nancy Jackson;feminino;pix
2025-09-24 13:35:34.922271;173;Fortaleza;Matheus Pereira;Smartwatch QCY;William Mitchell;masculino;pix
2025-09-24 14:30:33.891237;174;Natal;Clara Neves;SmartTV OLED 4k TCL;Victoria Jones;feminino;dinheiro
2025-09-24 17:39:34.994962;175;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Nikki Bryant;feminino;dinheiro
2025-09-24 18:41:35.010089;176;Salvador;Carla Montenegro;Smartphone Samsung Galaxy;Edith Mccall;feminino;dinheiro
2025-09-24 19:38:34.606966;177;São Paulo;Maurício Peçanha;Smartphone Samsung Galaxy;Judy Alvarado;feminino;boleto
2025-09-25 10:55:32.914460;178;Fortaleza;Ana Oliveira;PlayStation 5;John Regnier;masculino;cartão de crédito
2025-09-25 12:21:33.921968;179;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Shirley Robbins;feminino;pix
2025-09-25 13:54:33.617748;180;Natal;Clara Neves;Geladeira Eletrolux;Jerry Loomis;masculino;pix
2025-09-25 15:36:35.175505;181;Natal;João Pedro;Geladeira Eletrolux;George Smith;masculino;dinheiro
2025-09-25 19:38:34.630300;182;Fortaleza;Matheus Pereira;SmartTV OLED 4k TCL;Jesus Richie;masculino;pix
2025-09-25 20:24:35.201870;183;São Paulo;Floriana Peixoto;PlayStation 5;Gloria Rocha;feminino;cartão de crédito
2025-09-25 20:37:32.951601;184;Fortaleza;Matheus Pereira;Smartphone Samsung Galaxy;Gloria Smith;feminino;cartão de crédito
2025-09-26 09:53:32.316896;185;São Paulo;Maurício Peçanha;SmartTV OLED 4k TCL;Billie Howard;feminino;boleto
2025-09-26 10:34:36.210898;186;Recife;Carlos Silva;Geladeira Eletrolux;Paul Castillo;masculino;pix
2025-09-26 11:51:33.437660;187;Recife;Carlos Silva;SmartTV OLED 4k TCL;Rebecca Walker;feminino;dinheiro
2025-09-26 12:47:32.691036;188;Salvador;Carla Montenegro;Smartphone Samsung Galaxy;Kristie Lyons;feminino;pix
2025-09-26 13:12:34.773264;189;Recife;Fernanda Costa;Geladeira Eletrolux;Daniel Turner;masculino;dinheiro
2025-09-26 14:15:36.224732;190;Salvador;Francisco José;Smartwatch QCY;Erwin Ortega;masculino;dinheiro
2025-09-26 15:57:33.824818;191;São Paulo;Floriana Peixoto;PlayStation 5;Adam Huffman;masculino;boleto
2025-09-26 19:38:34.312368;192;São Paulo;Maurício Peçanha;PlayStation 5;Gilbert Gruwell;masculino;cartão de crédito
2025-09-27 11:59:35.176162;193;Fortaleza;Matheus Pereira;Geladeira Eletrolux;Chester Beale;masculino;pix
2025-09-27 13:18:34.797081;194;Recife;Carlos Silva;Smartphone Samsung Galaxy;Alan Mack;masculino;boleto
2025-09-27 14:20:36.083192;195;Recife;Carlos Silva;Smartwatch QCY;Kevin Espinoza;masculino;pix
2025-09-27 14:28:35.022388;196;Recife;Carlos Silva;Smartphone Samsung Galaxy;Darcie Harrell;feminino;cartão de crédito
2025-09-27 17:36:35.312066;197;Fortaleza;Ana Oliveira;Smartwatch QCY;Mary Sadler;feminino;dinheiro
2025-09-27 19:08:34.689889;198;Recife;Carlos Silva;SmartTV OLED 4k TCL;Robert Norman;masculino;boleto
2025-09-27 19:25:35.023944;199;São Paulo;Maurício Peçanha;PlayStation 5;Tara Smith;feminino;boleto
2025-09-27 20:01:33.290098;200;Salvador;Francisco José;SmartTV OLED 4k TCL;Joy Delaune;feminino;cartão de crédito
2025-09-27 20:04:34.188186;201;Recife;Fernanda Costa;Smartwatch QCY;Scott Creger;masculino;cartão de crédito
2025-09-28 09:46:34.112187;202;Salvador;Francisco José;Geladeira Eletrolux;Tyree Gullo;masculino;pix
2025-09-28 19:32:33.216192;203;Recife;Carlos Silva;PlayStation 5;Meghan Mcclain;feminino;cartão de crédito
2025-09-28 20:42:33.211619;204;Recife;Fernanda Costa;Smartphone Samsung Galaxy;Vernon Lemire;masculino;pix
2025-09-29 11:58:35.336440;205;Salvador;Carla Montenegro;Geladeira Eletrolux;Jack Stearns;masculino;boleto
2025-09-29 14:12:34.243193;206;Fortaleza;Matheus Pereira;PlayStation 5;Michael Mason;masculino;dinheiro
2025-09-29 14:22:35.333366;207;Natal;João Pedro;SmartTV OLED 4k TCL;Christine Rooney;feminino;cartão de crédito
2025-09-29 14:57:33.722075;208;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Melisa Scott;feminino;boleto
2025-09-29 16:27:33.628822;209;Salvador;Francisco José;SmartTV OLED 4k TCL;James Lamarre;masculino;cartão de crédito
2025-09-29 18:03:32.287647;210;São Paulo;Floriana Peixoto;Smartphone Samsung Galaxy;Janice Mayer;feminino;cartão de crédito
2025-09-29 18:13:33.353819;211;Fortaleza;Matheus Pereira;Smartwatch QCY;Joseph Digirolamo;masculino;dinheiro
2025-09-30 10:18:32.311413;212;Salvador;Francisco José;Smartphone Samsung Galaxy;Arthur Mayes;masculino;cartão de crédito
2025-09-30 11:22:34.235852;213;Recife;Carlos Silva;PlayStation 5;Marylin Ortiz;feminino;pix
2025-09-30 11:25:32.302661;214;Natal;Clara Neves;PlayStation 5;Mildred Mertens;feminino;cartão de crédito
2025-09-30 13:43:36.275307;215;Recife;Carlos Silva;PlayStation 5;June Stumpff;feminino;dinheiro
2025-09-30 15:00:34.319504;216;Salvador;Francisco José;Smartphone Samsung Galaxy;Kirk Tyler;masculino;boleto
2025-09-30 17:04:32.836458;217;Recife;Carlos Silva;SmartTV OLED 4k TCL;Howard Granger;masculino;pix
2025-09-30 17:09:33.508861;218;Natal;João Pedro;Smartphone Samsung Galaxy;Susan Scheetz;feminino;boleto
2025-09-30 20:14:35.186344;219;São Paulo;Floriana Peixoto;Smartwatch QCY;John Chappel;masculino;cartão de crédito
2025-10-01 09:54:32.669522;220;Fortaleza;Matheus Pereira;PlayStation 5;David Beggs;masculino;cartão de crédito
2025-10-01 11:04:34.126442;221;Recife;Carlos Silva;SmartTV OLED 4k TCL;Michelle Valenzuela;feminino;boleto
2025-10-01 11:47:36.536884;222;Fortaleza;Matheus Pereira;Smartwatch QCY;James Aldrege;masculino;pix
2025-10-01 13:11:32.456205;223;Fortaleza;Ana Oliveira;SmartTV OLED 4k TCL;Richard Green;masculino;dinheiro
